feature value,n_samples,precision,recall,fbeta
 Own-child,993,0.9497907949790795,0.926530612244898,0.9380165289256197
 Wife,287,0.9428571428571428,0.9295774647887324,0.9361702127659575
 Other-relative,201,0.9210526315789473,0.9459459459459459,0.9333333333333332
feature value,n_samples,precision,recall,fbeta
 White,5586,0.9472140762463344,0.930835734870317,0.9389534883720929
 Other,50,1.0,1.0,1.0
 Asian-Pac-Islander,198,0.9512195121951219,0.9285714285714286,0.9397590361445782
 Black,612,0.9473684210526315,0.9130434782608695,0.9298892988929889
 Amer-Indian-Eskimo,67,1.0,0.9375,0.967741935483871
feature value,n_samples,precision,recall,fbeta
 Male,4409,0.9506057781919851,0.9315068493150684,0.9409594095940959
 Female,2104,0.9429735234215886,0.926,0.9344096871846619
feature value,n_samples,precision,recall,fbeta
 United-States,5815,0.9486081370449678,0.930672268907563,0.9395546129374337
 Puerto-Rico,17,0.6666666666666666,1.0,0.8
 ?,127,0.96,0.8888888888888888,0.923076923076923
 India,21,0.75,1.0,0.8571428571428571
 Japan,11,1.0,1.0,1.0
 Thailand,5,0.0,0.0,0.0
 Vietnam,10,1.0,1.0,1.0
 Guatemala,14,0.0,0.0,0.0
 Taiwan,14,1.0,0.8,0.888888888888889
 Philippines,36,0.9230769230769231,1.0,0.9600000000000001
 Ecuador,6,1.0,1.0,1.0
 Canada,30,1.0,0.8571428571428571,0.923076923076923
 Portugal,7,1.0,1.0,1.0
 Mexico,140,0.9714285714285714,1.0,0.9855072463768115
 Hong,5,0.0,0.0,0.0
 El-Salvador,15,1.0,0.8333333333333334,0.9090909090909091
 Laos,7,1.0,1.0,1.0
 Cuba,17,0.6666666666666666,0.6666666666666666,0.6666666666666666
 Columbia,15,1.0,1.0,1.0
 Ireland,7,0.6666666666666666,1.0,0.8
 China,15,1.0,1.0,1.0
 France,8,0.0,0.0,0.0
 Poland,14,1.0,1.0,1.0
 Cambodia,4,1.0,1.0,1.0
 Italy,12,1.0,1.0,1.0
 Germany,30,1.0,1.0,1.0
 Jamaica,20,1.0,0.8,0.888888888888889
 Dominican-Republic,16,1.0,1.0,1.0
 Peru,7,1.0,1.0,1.0
 England,17,1.0,0.8571428571428571,0.923076923076923
 Haiti,8,1.0,1.0,1.0
 Nicaragua,9,1.0,1.0,1.0
 Scotland,2,0.0,0.0,0.0
 South,9,1.0,0.6666666666666666,0.8
 Iran,7,1.0,0.6666666666666666,0.8
 Trinadad&Tobago,5,1.0,1.0,1.0
 Greece,4,0.0,0.0,0.0
 Hungary,1,0.0,0.0,0.0
 Honduras,2,1.0,1.0,1.0
 Yugoslavia,2,1.0,1.0,1.0
 Holand-Netherlands,1,0.0,0.0,0.0
 Outlying-US(Guam-USVI-etc),1,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Private,4488,0.9476584022038568,0.9322493224932249,0.9398907103825137
 Self-emp-not-inc,500,0.9596774193548387,0.9444444444444444,0.9520000000000001
 Self-emp-inc,229,0.94,0.9591836734693877,0.9494949494949495
 ?,384,0.96875,0.9029126213592233,0.9346733668341708
 Local-gov,439,0.9404761904761905,0.8876404494382022,0.9132947976878611
 State-gov,266,0.9375,0.9090909090909091,0.923076923076923
 Federal-gov,203,0.9285714285714286,0.9811320754716981,0.9541284403669724
 Without-pay,4,1.0,0.5,0.6666666666666666
feature value,n_samples,precision,recall,fbeta
 HS-grad,2092,0.9542857142857143,0.9399624765478424,0.9470699432892249
 11th,265,0.9571428571428572,0.9305555555555556,0.943661971830986
 Some-college,1457,0.9436201780415431,0.9352941176470588,0.9394387001477105
 9th,115,0.9354838709677419,0.8787878787878788,0.90625
 Prof-school,107,1.0,1.0,1.0
 Bachelors,1007,0.9525691699604744,0.9198473282442748,0.9359223300970874
 Doctorate,88,0.9473684210526315,1.0,0.972972972972973
 Masters,366,0.890625,0.8636363636363636,0.8769230769230768
 5th-6th,65,1.0,0.875,0.9333333333333333
 Assoc-acdm,217,0.9333333333333333,0.9545454545454546,0.9438202247191012
 Assoc-voc,276,0.9324324324324325,0.92,0.9261744966442953
 7th-8th,133,0.967741935483871,0.967741935483871,0.967741935483871
 10th,193,0.9487179487179487,0.8604651162790697,0.9024390243902439
 Preschool,7,0.0,0.0,0.0
 12th,91,0.9047619047619048,0.95,0.9268292682926829
 1st-4th,34,1.0,0.9333333333333333,0.9655172413793104
feature value,n_samples,precision,recall,fbeta
 Never-married,2197,0.9587813620071685,0.9272097053726169,0.9427312775330395
 Married-civ-spouse,2965,0.9310344827586207,0.9296987087517934,0.9303661162957646
 Married-spouse-absent,72,0.95,0.95,0.9500000000000001
 Widowed,191,0.9565217391304348,0.9361702127659575,0.9462365591397849
 Separated,198,1.0,0.9166666666666666,0.9565217391304348
 Divorced,885,0.964824120603015,0.9365853658536586,0.9504950495049505
 Married-AF-spouse,5,1.0,1.0,1.0
feature value,n_samples,precision,recall,fbeta
 Handlers-cleaners,253,0.9722222222222222,0.9333333333333333,0.9523809523809524
 Exec-managerial,796,0.9364161849710982,0.9101123595505618,0.9230769230769231
 Other-service,691,0.9367816091954023,0.9588235294117647,0.9476744186046513
 Transport-moving,317,0.9583333333333334,0.9583333333333334,0.9583333333333334
 Sales,716,0.9502762430939227,0.9297297297297298,0.9398907103825136
 Craft-repair,806,0.93048128342246,0.93048128342246,0.93048128342246
 Priv-house-serv,31,1.0,1.0,1.0
 Adm-clerical,763,0.9375,0.9424083769633508,0.9399477806788512
 ?,384,0.96875,0.9029126213592233,0.9346733668341708
 Farming-fishing,184,0.8913043478260869,0.9111111111111111,0.9010989010989011
 Prof-specialty,839,0.946236559139785,0.9166666666666666,0.9312169312169313
 Machine-op-inspct,416,0.9791666666666666,0.912621359223301,0.9447236180904524
 Tech-support,195,1.0,0.9272727272727272,0.9622641509433962
 Protective-serv,120,1.0,0.9615384615384616,0.9803921568627451
 Armed-Forces,2,0.0,0.0,0.0
feature value,n_samples,precision,recall,fbeta
 Not-in-family,1651,0.9640102827763496,0.9146341463414634,0.9386733416770964
 Husband,2615,0.9292763157894737,0.9354304635761589,0.9323432343234324
 Own-child,1035,0.9583333333333334,0.9547169811320755,0.9565217391304347
 Other-relative,190,0.9423076923076923,0.9245283018867925,0.9333333333333333
 Unmarried,716,0.9651162790697675,0.9273743016759777,0.9458689458689459
 Wife,306,0.9493670886075949,0.8928571428571429,0.920245398773006
feature value,n_samples,precision,recall,fbeta
 White,5552,0.951734539969834,0.9306784660766961,0.9410887397464579
 Black,652,0.927710843373494,0.927710843373494,0.927710843373494
 Other,53,1.0,0.8125,0.896551724137931
 Asian-Pac-Islander,199,0.9111111111111111,0.9318181818181818,0.9213483146067416
 Amer-Indian-Eskimo,57,0.9285714285714286,1.0,0.962962962962963
feature value,n_samples,precision,recall,fbeta
 Male,4331,0.9450980392156862,0.9305019305019305,0.9377431906614787
 Female,2182,0.9540441176470589,0.9284436493738819,0.9410698096101541
feature value,n_samples,precision,recall,fbeta
 United-States,5834,0.9481268011527377,0.9326718639262934,0.9403358342265095
 Jamaica,21,1.0,0.8,0.888888888888889
 Dominican-Republic,17,1.0,0.8,0.888888888888889
 India,26,0.8888888888888888,0.8888888888888888,0.8888888888888888
 South,20,1.0,1.0,1.0
 El-Salvador,22,1.0,0.8,0.888888888888889
 Columbia,12,1.0,0.8,0.888888888888889
 Taiwan,6,0.0,0.0,0.0
 Japan,13,1.0,1.0,1.0
 ?,116,0.9375,0.967741935483871,0.9523809523809523
 Mexico,122,0.9393939393939394,0.8857142857142857,0.9117647058823529
 Philippines,37,1.0,0.8333333333333334,0.9090909090909091
 Haiti,10,1.0,1.0,1.0
 China,13,1.0,1.0,1.0
 Germany,27,1.0,1.0,1.0
 Vietnam,11,1.0,0.5,0.6666666666666666
 England,22,1.0,1.0,1.0
 Portugal,11,1.0,1.0,1.0
 Nicaragua,5,0.0,0.0,0.0
 Puerto-Rico,21,1.0,1.0,1.0
 Canada,25,0.9090909090909091,1.0,0.9523809523809523
 France,6,1.0,1.0,1.0
 Greece,5,1.0,1.0,1.0
 Cuba,22,1.0,0.8333333333333334,0.9090909090909091
 Peru,5,1.0,1.0,1.0
 Poland,5,1.0,1.0,1.0
 Guatemala,12,1.0,1.0,1.0
 Cambodia,5,0.0,0.0,0.0
 Laos,5,1.0,1.0,1.0
 Yugoslavia,4,0.0,0.0,0.0
 Thailand,5,0.0,0.0,0.0
 Italy,18,1.0,1.0,1.0
 Ecuador,3,1.0,0.5,0.6666666666666666
 Hong,3,1.0,1.0,1.0
 Iran,11,0.0,0.0,0.0
 Honduras,3,1.0,1.0,1.0
 Outlying-US(Guam-USVI-etc),5,0.0,0.0,0.0
 Scotland,1,0.0,0.0,0.0
 Ireland,4,0.0,0.0,0.0
